id,muin_city,attraction_site,coordinates,category,review,website,phone,address,created_at,updated_at
1,,Steinbach Mennonite Church,"49.984201746141636, -96.80445929478816",Church,4.5,https://steinbachmennonite.ca/,12043269773,"345 Loewen Blvd, Steinbach, MB R5G 0L1, Canada",27-Jul-22,27-Jul-22
2,,Portuguese Recreational Park,"50.56597695894581, -97.87944334937583",Resort hotel,4.7,,12047835607,"444 Twin Beach Rd, Twin Lakes Beach, MB R0C 2S0, Canada",27-Jul-22,27-Jul-22
3,,26th Field Regiment Museum,"49.84206483437486, -99.95318414139703",Museum,4.8,http://www.12mbdragoons.com/,12047277691,"1116 Victoria Ave, Brandon, MB R7A 1B2, Canada",27-Jul-22,27-Jul-22
4,,4 lane - Castle in Corn - Corn Maze,"49.60085343377011, -97.33054682560261",,3,,12047915347,"Provincial Rd 330, Domain, MB R0G 0M0",27-Jul-22,27-Jul-22
5,,4-H Museum,"49.367835548555554, -97.9398820246122",Museum,4,http://www.roland4hmuseum.ca/,,"72 3 St, Roland, MB R0G 1T0",27-Jul-22,27-Jul-22
6,,"4-H Museum, R.M. of Roland","49.367836346900326, -97.93988096756944",Museum,4,http://www.roland4hmuseum.ca/,,"72 3 St, Roland, MB R0G 1T0, Canada",27-Jul-22,27-Jul-22
7,,A Maze In Corn,"49.870160099902165, -97.11392314213731",Tourist attraction,4.5,http://www.cornmaze.ca/,12048832048,"1351 MB-200, Saint Adolphe, MB R5A 1A2, Canada",27-Jul-22,27-Jul-22
8,,A.D. Penner Park,"49.54832764594856, -96.68368932237364",Park,4.5,http://www.steinbach.ca/experience-steinbach/a.d-penner-park/,12043466217,"Park Rd E, Steinbach, MB R0A 0C0, Canada",27-Jul-22,27-Jul-22
9,,Abenaki Art Works,"49.98452477535191, -98.28703351730815",Art gallery,4.4,,12048575945,"730 Midland St N, Portage la Prairie, MB R1N 1T1",27-Jul-22,27-Jul-22
10,,Access Event Centre,"49.2007300167786, -98.09494906062817",Recreation center,4.6,https://www.mymorden.ca/access-event-centre,12048225431,"111-D Gilmour St, Morden, MB R6M 1N9, Canada",27-Jul-22,27-Jul-22
11,,Ace Art Inc,"49.92904092612182, -97.1443680111644",Art center,4.6,https://www.aceart.org/,12049449763,"206 Princess St, Winnipeg, MB R3B 1L4, Canada",27-Jul-22,27-Jul-22
12,,Adam Lake Equestrian Campground,"49.387410578593986, -100.13161702063508",Campground,,,12045342028,"Manitoba R0K 0E0, Canada",27-Jul-22,27-Jul-22
13,,Agassiz Interpretive Trail,"49.39313424145706, -96.64033571835988",Hiking area,2.5,http://www.manitobatrailsproject.ca/trail-list/agassiz-interpretive-trail/,,"Road 36E, Vita, MB, Canada",27-Jul-22,27-Jul-22
14,,Agassiz Outfitters,"51.76927082691908, -98.73545551146198",Hunting area,4.4,https://agassizoutfitters.com/?utm_source=organic&utm_medium=gmb-listing&utm_id=google,12042811918,"MB-6, Gypsumville, MB R0C 1J0",27-Jul-22,27-Jul-22
15,,Air Command Headquarters Museum,"49.88996017049454, -97.23660252515992",Museum,4.6,,,"186 Air Force Way, Winnipeg, MB",27-Jul-22,27-Jul-22
16,,Air Force Heritage Museum and Air Park,"49.902500800373595, -97.22801265258941",Tourist attraction,4.6,,12048332500,"186 Air Force Way, Winnipeg, MB, Canada",27-Jul-22,27-Jul-22
17,,Alder Avenue Playground,"54.788189631450756, -101.8476990861148",Playground,5,,,"108 Alder Ave, Flin Flon, MB R8A 1P5, Canada",27-Jul-22,27-Jul-22
18,,Alex Robertson Museum,"50.80071920295757, -98.97332883257067",Museum,,http://www.mhs.mb.ca/docs/sites/alexrobertsonmuseum.shtml,12047672054,"Church Rd S, Alonsa, MB R0H 0A0, Canada",27-Jul-22,27-Jul-22
19,,Alexander Ridge Park,"49.370614765003694, -98.32925363312395",Park,4.5,,,"Miami, MB R0G 1H0",27-Jul-22,27-Jul-22
20,,Alexander Rink,"49.941317428149745, -100.33022932776034",Hockey rink,3.7,,,"406 1st Ave, Alexander, MB R0K 0A0, Canada",27-Jul-22,27-Jul-22
21,,ALH Motor Speedway,"49.20118661912276, -98.18198978416936",Car racing track,4.6,http://alhmotorspeedway.com/,12048224554,"Road 32 North, Morden, MB R6M 1B5",27-Jul-22,27-Jul-22
22,,Alonsa Curling Rink,"50.80007210993775, -98.97454993556372",Sports complex,5,,12047672149,"Church Rd S, Alonsa, MB R0H 0A0",27-Jul-22,27-Jul-22
23,,Alt Bergthal Cemetery,"49.14289535756395, -97.61085219867984",Cemetery,,,,"Manitoba R0G 0B0, Canada",27-Jul-22,27-Jul-22
24,,Altona Aquatic Centre,"49.10980536166789, -97.56866882144672",Outdoor swimming pool,4.3,https://altona.ca/tourism/recreation-facilities/aquatic-centre/,12043245288,"10 Ave NW, Altona, MB R0G 0B0",27-Jul-22,27-Jul-22
25,,Altona Centennial Park Campground,"49.108509398812885, -97.56764244605202",Campground,4.7,https://altona.ca/tourism/recreation-leisure/camping/,12043249005,"Altona, MB R0G 0B1",27-Jul-22,27-Jul-22
26,,Altona Eigengrund Cemetary,"49.157267229611826, -97.4680299379079",Cemetery,,,,"Manitoba R0G 0B0, Canada",27-Jul-22,27-Jul-22
27,,Amarok Acres Inc.,"49.70129775479466, -96.71441359951241",Mobile home park,4,,12043921188,"780 Main St, Steinbach, MB R5G 0L9, Canada",27-Jul-22,27-Jul-22
28,,Angell's Motel & Cabins,"54.67018442486979, -102.0833582466366",Resort,4.4,http://www.angellsfishandhunt.ca/,13063622112,"301 Flinport Rd, Denare Beach, SK S0P 0B0, Canada",27-Jul-22,27-Jul-22
29,,Anola & District Museum,"49.88382327095561, -96.64859489170671",Heritage museum,5,http://www.mhs.mb.ca/docs/sites/anolamuseum.shtml,12048662922,"725 Weiser Crescent, Anola, MB R0E 0A0, Canada",27-Jul-22,27-Jul-22
30,,Arborg & District Arena,"50.910513981059985, -97.2151051012128",Stadium,4,,12043765576,"437 Recreation Centre, Arborg, MB R0C 0A0",27-Jul-22,27-Jul-22
31,,Arborg & District Multi Cultural Heritage Village,"50.90327516235639, -97.20757914499384",Museum,4.5,http://www.arborgheritagevillage.ca/,12043765079,"MB-68, Arborg, MB R0C 0A0, Canada",27-Jul-22,27-Jul-22
32,,Arborg Bifrost Community Centre,"51.03244492222847, -97.23688775517276",Community center,4.6,http://www.townofarborg.com/,12043765576,"409 Recreation Centre, Arborg, MB, Canada",27-Jul-22,27-Jul-22
33,,Arborg Curling Rink,"50.910462489554924, -97.21602792410758",Community center,4.5,,12043765576,"417 Recreation Centre, Arborg, MB R0C 0A0",27-Jul-22,27-Jul-22
34,,Arborg Kinsmen Campground,"50.9021900556592, -97.23083908991241",Campground,5,,,"Jct Hwy 7 & Hwy, MB-68, Arborg, MB R0C 0A0",27-Jul-22,27-Jul-22
35,,Arena Duncan,"49.92468345755211, -97.13450614534132",Club,4.5,http://arena-duncan.poi.place/,12049431162,"55 Duncan St, Winnipeg, MB R3B 0Y5, Canada",27-Jul-22,27-Jul-22
36,,Argyle Centennial Park Campground / Baldur Campground,"49.56587167128447, -99.26369714065274",Campground,4,,12045352176,"Carrie Ave, Baldur, MB R0K 0B0, Canada",27-Jul-22,27-Jul-22
37,,Argyle Park,"49.82340292629546, -99.97011872534277",Park,,,,"1600 24th St, Brandon, MB R7B 1Y3, Canada",27-Jul-22,27-Jul-22
